MLS Listing,,Condo/Co-op,279 Laidley St,San Francisco,CA,94131,1150000,2,1,San Francisco,1293,2272,1912,1,889,390,Active,September-21-2021 12:00 PM,September-21-2021 1:30 PM,http://www.redfin.com/CA/San-Francisco/279-Laidley-St-94131/home/28938913,San Francisco MLS,421595036,N,Y,37.7377751,-122.4280591
MLS Listing,,Condo/Co-op,1390 Hayes St #4,San Francisco,CA,94117,949000,1,1,San Francisco,804,2841,1929,1,1180,562,Active,September-21-2021 11:00 AM,September-21-2021 12:30 PM,http://www.redfin.com/CA/San-Francisco/1390-Hayes-St-94117/unit-4/home/1417592,San Francisco MLS,421596561,N,Y,37.7750336,-122.4392615
MLS Listing,,Condo/Co-op,1080 Sutter St #301,San Francisco,CA,94109,1250000,3,2,San Francisco,1225,7000,,1,1020,870,Active,,,http://www.redfin.com/CA/San-Francisco/1080-Sutter-St-94109/unit-301/home/69054814,San Francisco MLS,421594742,N,Y,37.788251,-122.418101
MLS Listing,,Single Family Residential,33 Rice St,Daly City,CA,94014,799950,2,1,Daly City,1210,2775,1927,1,661,,Active,,,http://www.redfin.com/CA/Daly-City/33-Rice-St-94014/home/556234,San Francisco MLS,421596560,N,Y,37.7079972,-122.4571844
MLS Listing,,Condo/Co-op,801 Indiana St #360,San Francisco,CA,94107,1399000,2,2,San Francisco,1243,85458,2009,1,1126,594,Active,,,http://www.redfin.com/CA/San-Francisco/801-Indiana-St-94107/unit-360/home/40142862,San Francisco MLS,421594062,N,Y,37.7601915,-122.390931
MLS Listing,,Condo/Co-op,560 Haight St #107,San Francisco,CA,94117,1950000,2,2.5,San Francisco,2075,,1925,1,940,883,Active,September-21-2021 11:00 AM,September-21-2021 12:30 PM,http://www.redfin.com/CA/San-Francisco/560-Haight-St-94117/unit-107/home/854256,San Francisco MLS,421596532,N,Y,37.7721919,-122.4315286
MLS Listing,,Single Family Residential,680 Douglass St,San Francisco,CA,94114,4795000,5,5,San Francisco,4006,2495,2013,1,1197,,Active,September-23-2021 5:30 PM,September-23-2021 6:30 PM,http://www.redfin.com/CA/San-Francisco/680-Douglass-St-94114/home/682599,San Francisco MLS,421583271,N,Y,37.7529534,-122.4389167
MLS Listing,,Condo/Co-op,1980 Sutter St #317,San Francisco,CA,94115,1295000,2,2,San Francisco,1396,27617,1984,1,928,720,Active,September-23-2021 5:00 PM,September-23-2021 6:00 PM,http://www.redfin.com/CA/San-Francisco/1980-Sutter-St-94115/unit-317/home/102818121,San Francisco MLS,421593645,N,Y,37.7862668,-122.4329775
MLS Listing,,Condo/Co-op,3190 Clay St,San Francisco,CA,94115,2250000,2,2.5,San Francisco,2160,2341,1905,1,1042,,Active,,,http://www.redfin.com/CA/San-Francisco/3190-Clay-St-94115/home/1375171,San Francisco MLS,421589894,N,Y,37.7894142,-122.4455328
MLS Listing,,Single Family Residential,2500 Broadway St,San Francisco,CA,94115,17000000,6,6,San Francisco,7045,3746,1894,1,2413,,Active,,,http://www.redfin.com/CA/San-Francisco/2500-Broadway-94115/home/1126796,San Francisco MLS,421595472,N,Y,37.7940726,-122.4384298
MLS Listing,,Single Family Residential,157 Bayview Cir,San Francisco,CA,94114,899000,3,2,San Francisco,1594,2012,1985,1,564,426,Active,,,http://www.redfin.com/CA/San-Francisco/157-Bayview-Cir-94124/home/1149505,San Francisco MLS,421595413,N,Y,37.734093,-122.3952016
MLS Listing,,Condo/Co-op,33 Hartford St,San Francisco,CA,94114,1549000,3,2,San Francisco,1532,3271,1907,1,1011,248,Active,September-23-2021 5:30 PM,September-23-2021 7:00 PM,http://www.redfin.com/CA/San-Francisco/33-Hartford-St-94114/unit-1/home/709648,San Francisco MLS,421587693,N,Y,37.762002,-122.433678
MLS Listing,,Multi-Family (5+ Unit),1450 47th Ave,San Francisco,CA,94122,1695000,9,6,San Francisco,3614,2996,1909,1,469,,Active,,,http://www.redfin.com/CA/San-Francisco/1450-47th-Ave-94122/home/1516347,San Francisco MLS,421596511,N,Y,37.7594249,-122.506603
MLS Listing,,Condo/Co-op,990 Duncan St Unit 304G,San Francisco,CA,94131,995000,2,2,San Francisco,1175,6897,1972,1,847,695,Active,,,http://www.redfin.com/CA/San-Francisco/990-Duncan-St-94131/unit-304G/home/1850833,San Francisco MLS,421596502,N,Y,37.7453002,-122.4425216
MLS Listing,,Single Family Residential,1839 25th Ave,San Francisco,CA,94122,1249000,3,2,San Francisco,1924,2996,1939,1,649,,Active,,,http://www.redfin.com/CA/San-Francisco/1839-25th-Ave-94122/home/904056,San Francisco MLS,421593541,N,Y,37.7531858,-122.4830993
MLS Listing,,Single Family Residential,2919 California St,San Francisco,CA,94115,3995000,4,3.5,San Francisco,3427,2406,1900,1,1166,,Active,September-21-2021 10:00 AM,September-21-2021 11:30 PM,http://www.redfin.com/CA/San-Francisco/2919-California-St-94115/home/1305577,San Francisco MLS,421595620,N,Y,37.7874902,-122.442901
MLS Listing,,Condo/Co-op,858 Capp St #2,San Francisco,CA,94110,1069000,1,2,San Francisco,1015,,2021,1,1053,432,Active,September-21-2021 2:00 PM,September-21-2021 3:30 PM,http://www.redfin.com/CA/San-Francisco/858-Capp-St-94110/unit-2/home/175116001,San Francisco MLS,421596415,N,Y,37.7529271,-122.4176769
MLS Listing,,Single Family Residential,550 El Camino Del Mar,San Francisco,CA,94121,4975000,3,4.5,San Francisco,3605,3576,1958,1,1380,,Active,,,http://www.redfin.com/CA/San-Francisco/550-El-Camino-Del-Mar-94121/home/1324126,San Francisco MLS,421594786,N,Y,37.7875379,-122.4899528
MLS Listing,,Condo/Co-op,29 Oakwood St #13,San Francisco,CA,94110,349507,2,2,San Francisco,1136,39407,2008,1,308,584,Active,,,http://www.redfin.com/CA/San-Francisco/29-Oakwood-St-94110/unit-13/home/23424260,San Francisco MLS,421596483,N,Y,37.7609862,-122.4249233
MLS Listing,,Condo/Co-op,1855 Jones St,San Francisco,CA,94109,3895000,4,3,San Francisco,2835,1913,1939,1,1374,550,Active,,,http://www.redfin.com/CA/San-Francisco/1855-Jones-St-94109/home/11743229,San Francisco MLS,421587175,N,Y,37.7983819,-122.4157241
MLS Listing,,Single Family Residential,1559 18th Ave,San Francisco,CA,94122,1295000,3,2,San Francisco,1607,2495,1939,1,806,,Active,September-21-2021 6:00 PM,September-21-2021 7:00 PM,http://www.redfin.com/CA/San-Francisco/1559-18th-Ave-94122/home/1980035,San Francisco MLS,421596074,N,Y,37.7587646,-122.4759697
MLS Listing,,Condo/Co-op,401 Harrison St Unit 37F,San Francisco,CA,94105,1495000,1,1,San Francisco,830,56023,2014,1,1801,1293,Active,,,http://www.redfin.com/CA/San-Francisco/401-Harrison-St-94105/unit-37F/home/144064304,San Francisco MLS,421585651,N,Y,37.7863747,-122.3919931
MLS Listing,,Condo/Co-op,244 Downey St #1,San Francisco,CA,94117,760000,1,1,San Francisco,616,1982,1906,1,1234,250,Active,September-25-2021 11:00 AM,September-25-2021 1:00 PM,http://www.redfin.com/CA/San-Francisco/244-Downey-St-94117/unit-1/home/600482,San Francisco MLS,421596356,N,Y,37.7646921,-122.4464867
MLS Listing,,Condo/Co-op,901 Powell St #6,San Francisco,CA,94108,1895000,2,2,San Francisco,1562,4758,1912,1,1213,,Active,,,http://www.redfin.com/CA/San-Francisco/901-Powell-St-94108/unit-6/home/547207,San Francisco MLS,421591796,N,Y,37.7930687,-122.4096512
MLS Listing,,Condo/Co-op,3301 Mission St #202,SAN FRANCISCO,CA,94110,1095000,3,2,SAN FRANCISCO,920,,1991,1,1190,420,Active,,,http://www.redfin.com/CA/San-Francisco/3301-Mission-St-94110/unit-202/home/760600,MLSListings,ML81863390,N,Y,37.7440287,-122.4204617
MLS Listing,,Condo/Co-op,1750 Taylor St #1601,San Francisco,CA,94133,11000000,3,3.5,San Francisco,3640,35706,1961,1,3022,,Active,,,http://www.redfin.com/CA/San-Francisco/1750-Taylor-St-94133/unit-1601/home/12400682,San Francisco MLS,421596443,N,Y,37.7988047,-122.4131897
MLS Listing,,Single Family Residential,320 Day St,San Francisco,CA,94131,995000,0,1,San Francisco,2158,2848,1900,1,461,,Active,September-22-2021 3:30 PM,September-22-2021 5:30 PM,http://www.redfin.com/CA/San-Francisco/320-Day-St-94131/home/1389680,San Francisco MLS,421593749,N,Y,37.7428746,-122.4294051
MLS Listing,,Townhouse,11 Bowman Ct,San Francisco,CA,94124,780000,2,2,San Francisco,1219,896,1992,1,640,65,Active,,,http://www.redfin.com/CA/San-Francisco/11-Bowman-Ct-94124/home/741396,San Francisco MLS,421595395,N,Y,37.7377663,-122.3821456
